"package","class","name","name","count"
,,"test_dsession","FAILED",14
"acceptance_test","acceptance_test","test_crashing_item","FIXED",13
"acceptance_test","acceptance_test","test_crashing_item","PASSED",254
"acceptance_test","acceptance_test","test_crashing_item","REGRESSION",9
"acceptance_test","acceptance_test","test_funcarg_teardown_failure","PASSED",276
"acceptance_test","acceptance_test","test_session_hooks","FIXED",13
"acceptance_test","acceptance_test","test_session_hooks","PASSED",254
"acceptance_test","acceptance_test","test_session_hooks","REGRESSION",9
"acceptance_test","acceptance_test","test_skipping","FIXED",9
"acceptance_test","acceptance_test","test_skipping","PASSED",246
"acceptance_test","acceptance_test","test_skipping","REGRESSION",9
"acceptance_test","acceptance_test","test_teardownfails_one_function","FIXED",13
"acceptance_test","acceptance_test","test_teardownfails_one_function","PASSED",254
"acceptance_test","acceptance_test","test_teardownfails_one_function","REGRESSION",9
"acceptance_test","acceptance_test","test_terminate_on_hangingnode","SKIPPED",276
"acceptance_test","cceptance_test.TestDistEach","test_simple","FIXED",13
"acceptance_test","cceptance_test.TestDistEach","test_simple","PASSED",254
"acceptance_test","cceptance_test.TestDistEach","test_simple","REGRESSION",9
"acceptance_test","cceptance_test.TestDistEach","test_simple_diffoutput","SKIPPED",276
"acceptance_test","cceptance_test.TestDistribution","test_basetemp_in_subprocesses","FIXED",13
"acceptance_test","cceptance_test.TestDistribution","test_basetemp_in_subprocesses","PASSED",254
"acceptance_test","cceptance_test.TestDistribution","test_basetemp_in_subprocesses","REGRESSION",9
"acceptance_test","cceptance_test.TestDistribution","test_data_exchange","FIXED",13
"acceptance_test","cceptance_test.TestDistribution","test_data_exchange","PASSED",254
"acceptance_test","cceptance_test.TestDistribution","test_data_exchange","REGRESSION",9
"acceptance_test","cceptance_test.TestDistribution","test_dist_ini_specified","FIXED",13
"acceptance_test","cceptance_test.TestDistribution","test_dist_ini_specified","PASSED",254
"acceptance_test","cceptance_test.TestDistribution","test_dist_ini_specified","REGRESSION",9
"acceptance_test","cceptance_test.TestDistribution","test_dist_tests_with_crash","FIXED",10
"acceptance_test","cceptance_test.TestDistribution","test_dist_tests_with_crash","PASSED",170
"acceptance_test","cceptance_test.TestDistribution","test_dist_tests_with_crash","REGRESSION",6
"acceptance_test","cceptance_test.TestDistribution","test_dist_tests_with_crash","SKIPPED",90
"acceptance_test","cceptance_test.TestDistribution","test_distribution_rsyncdirs_example","FIXED",13
"acceptance_test","cceptance_test.TestDistribution","test_distribution_rsyncdirs_example","PASSED",254
"acceptance_test","cceptance_test.TestDistribution","test_distribution_rsyncdirs_example","REGRESSION",9
"acceptance_test","cceptance_test.TestDistribution","test_keyboard_interrupt_dist","PASSED",31
"acceptance_test","cceptance_test.TestDistribution","test_keyboard_interrupt_dist","SKIPPED",245
"acceptance_test","cceptance_test.TestDistribution","test_keyboardinterrupt_hooks_issue79","FIXED",13
"acceptance_test","cceptance_test.TestDistribution","test_keyboardinterrupt_hooks_issue79","PASSED",254
"acceptance_test","cceptance_test.TestDistribution","test_keyboardinterrupt_hooks_issue79","REGRESSION",9
"acceptance_test","cceptance_test.TestDistribution","test_manytests_to_one_popen","FIXED",13
"acceptance_test","cceptance_test.TestDistribution","test_manytests_to_one_popen","PASSED",254
